Name,rank
UNIVERSITÃ‰ DU QUÃ‰BEC,540
"UNIVERSITÃ‰ LILLE 1, SCIENCES ET TECHNOLOGIE",541
UNIVERSITY OF DELHI,542
UNIVERSITY OF GUELPH,543
UNIVERSITY OF KENTUCKY,544
UNIVERSITY OF LIMERICK |UL,545
UNIVERSITY OF MACAU,546
UNIVERSITY OF MANITOBA,547
UNIVERSITY OF MONS ,548
UNIVERSITY OF SZEGED,549
UNIVERSITY OF TAMPERE,550
AMERICAN UNIVERSITY IN DUBAI,551
CAIRO UNIVERSITY,552
CARLETON UNIVERSITY,553
CHARLES DARWIN UNIVERSITY ,554
CHIANG MAI UNIVERSITY,555
CHIBA UNIVERSITY,556
COLLEGE OF WILLIAM & MARY,557
EAST CHINA NORMAL UNIVERSITY,558
FAR EASTERN FEDERAL UNIVERSITY,559
FLINDERS UNIVERSITY,560
HOWARD UNIVERSITY,561
INHA UNIVERSITY,562
